power,length,model
0.564,5,"(8, 18, 17, 19, 6)"
0.61,10,"(8, 18, 17, 19, 6)"
0.612,18,"(8, 18, 17, 19, 6)"
0.632,24,"(8, 18, 17, 19, 6)"
0.648,30,"(8, 18, 17, 19, 6)"
0.664,50,"(8, 18, 17, 19, 6)"
0.69,75,"(8, 18, 17, 19, 6)"
0.728,100,"(8, 18, 17, 19, 6)"
0.75,125,"(8, 18, 17, 19, 6)"
0.742,150,"(8, 18, 17, 19, 6)"
0.752,175,"(8, 18, 17, 19, 6)"
0.742,200,"(8, 18, 17, 19, 6)"
0.764,225,"(8, 18, 17, 19, 6)"
0.772,250,"(8, 18, 17, 19, 6)"
0.778,275,"(8, 18, 17, 19, 6)"
0.762,300,"(8, 18, 17, 19, 6)"
0.764,350,"(8, 18, 17, 19, 6)"
0.774,400,"(8, 18, 17, 19, 6)"
0.772,500,"(8, 18, 17, 19, 6)"
0.8,750,"(8, 18, 17, 19, 6)"
0.8,1000,"(8, 18, 17, 19, 6)"
0.8,1250,"(8, 18, 17, 19, 6)"
0.8,1500,"(8, 18, 17, 19, 6)"
0.8,1750,"(8, 18, 17, 19, 6)"
0.8,1999,"(8, 18, 17, 19, 6)"
0.61,5,"(19, 19, 19, 19, 19)"
0.634,10,"(19, 19, 19, 19, 19)"
0.658,18,"(19, 19, 19, 19, 19)"
0.676,24,"(19, 19, 19, 19, 19)"
0.682,30,"(19, 19, 19, 19, 19)"
0.712,50,"(19, 19, 19, 19, 19)"
0.728,75,"(19, 19, 19, 19, 19)"
0.748,100,"(19, 19, 19, 19, 19)"
0.716,125,"(19, 19, 19, 19, 19)"
0.732,150,"(19, 19, 19, 19, 19)"
0.736,175,"(19, 19, 19, 19, 19)"
0.734,200,"(19, 19, 19, 19, 19)"
0.718,225,"(19, 19, 19, 19, 19)"
0.734,250,"(19, 19, 19, 19, 19)"
0.724,275,"(19, 19, 19, 19, 19)"
0.732,300,"(19, 19, 19, 19, 19)"
0.72,350,"(19, 19, 19, 19, 19)"
0.726,400,"(19, 19, 19, 19, 19)"
0.768,500,"(19, 19, 19, 19, 19)"
0.834,750,"(19, 19, 19, 19, 19)"
0.938,1000,"(19, 19, 19, 19, 19)"
1.0,1250,"(19, 19, 19, 19, 19)"
1.0,1500,"(19, 19, 19, 19, 19)"
1.0,1750,"(19, 19, 19, 19, 19)"
1.0,1999,"(19, 19, 19, 19, 19)"
0.404,5,"(2, 2, 2, 2, 2)"
0.436,10,"(2, 2, 2, 2, 2)"
0.44,18,"(2, 2, 2, 2, 2)"
0.386,24,"(2, 2, 2, 2, 2)"
0.404,30,"(2, 2, 2, 2, 2)"
0.376,50,"(2, 2, 2, 2, 2)"
0.37,75,"(2, 2, 2, 2, 2)"
0.376,100,"(2, 2, 2, 2, 2)"
0.382,125,"(2, 2, 2, 2, 2)"
0.378,150,"(2, 2, 2, 2, 2)"
0.394,175,"(2, 2, 2, 2, 2)"
0.412,200,"(2, 2, 2, 2, 2)"
0.4,225,"(2, 2, 2, 2, 2)"
0.424,250,"(2, 2, 2, 2, 2)"
0.428,275,"(2, 2, 2, 2, 2)"
0.412,300,"(2, 2, 2, 2, 2)"
0.458,350,"(2, 2, 2, 2, 2)"
0.472,400,"(2, 2, 2, 2, 2)"
0.482,500,"(2, 2, 2, 2, 2)"
0.504,750,"(2, 2, 2, 2, 2)"
0.518,1000,"(2, 2, 2, 2, 2)"
0.486,1250,"(2, 2, 2, 2, 2)"
0.478,1500,"(2, 2, 2, 2, 2)"
0.4,1750,"(2, 2, 2, 2, 2)"
0.4,1999,"(2, 2, 2, 2, 2)"
0.374,5,"(2, 2, 2, 19, 19)"
0.39,10,"(2, 2, 2, 19, 19)"
0.464,18,"(2, 2, 2, 19, 19)"
0.446,24,"(2, 2, 2, 19, 19)"
0.442,30,"(2, 2, 2, 19, 19)"
0.432,50,"(2, 2, 2, 19, 19)"
0.456,75,"(2, 2, 2, 19, 19)"
0.444,100,"(2, 2, 2, 19, 19)"
0.47,125,"(2, 2, 2, 19, 19)"
0.47,150,"(2, 2, 2, 19, 19)"
0.462,175,"(2, 2, 2, 19, 19)"
0.446,200,"(2, 2, 2, 19, 19)"
0.454,225,"(2, 2, 2, 19, 19)"
0.448,250,"(2, 2, 2, 19, 19)"
0.432,275,"(2, 2, 2, 19, 19)"
0.436,300,"(2, 2, 2, 19, 19)"
0.442,350,"(2, 2, 2, 19, 19)"
0.426,400,"(2, 2, 2, 19, 19)"
0.432,500,"(2, 2, 2, 19, 19)"
0.4,750,"(2, 2, 2, 19, 19)"
0.4,1000,"(2, 2, 2, 19, 19)"
0.4,1250,"(2, 2, 2, 19, 19)"
0.4,1500,"(2, 2, 2, 19, 19)"
0.4,1750,"(2, 2, 2, 19, 19)"
0.4,1999,"(2, 2, 2, 19, 19)"
0.598,5,"(8, 16, 17, 18, 17)"
0.628,10,"(8, 16, 17, 18, 17)"
0.624,18,"(8, 16, 17, 18, 17)"
0.664,24,"(8, 16, 17, 18, 17)"
0.692,30,"(8, 16, 17, 18, 17)"
0.726,50,"(8, 16, 17, 18, 17)"
0.76,75,"(8, 16, 17, 18, 17)"
0.8,100,"(8, 16, 17, 18, 17)"
0.806,125,"(8, 16, 17, 18, 17)"
0.806,150,"(8, 16, 17, 18, 17)"
0.818,175,"(8, 16, 17, 18, 17)"
0.818,200,"(8, 16, 17, 18, 17)"
0.846,225,"(8, 16, 17, 18, 17)"
0.88,250,"(8, 16, 17, 18, 17)"
0.836,275,"(8, 16, 17, 18, 17)"
0.852,300,"(8, 16, 17, 18, 17)"
0.894,350,"(8, 16, 17, 18, 17)"
0.904,400,"(8, 16, 17, 18, 17)"
0.896,500,"(8, 16, 17, 18, 17)"
0.932,750,"(8, 16, 17, 18, 17)"
0.956,1000,"(8, 16, 17, 18, 17)"
1.0,1250,"(8, 16, 17, 18, 17)"
1.0,1500,"(8, 16, 17, 18, 17)"
1.0,1750,"(8, 16, 17, 18, 17)"
1.0,1999,"(8, 16, 17, 18, 17)"
0.554,5,"(8, 19, 19, 19, 17)"
0.582,10,"(8, 19, 19, 19, 17)"
0.628,18,"(8, 19, 19, 19, 17)"
0.676,24,"(8, 19, 19, 19, 17)"
0.7,30,"(8, 19, 19, 19, 17)"
0.688,50,"(8, 19, 19, 19, 17)"
0.71,75,"(8, 19, 19, 19, 17)"
0.704,100,"(8, 19, 19, 19, 17)"
0.698,125,"(8, 19, 19, 19, 17)"
0.702,150,"(8, 19, 19, 19, 17)"
0.732,175,"(8, 19, 19, 19, 17)"
0.712,200,"(8, 19, 19, 19, 17)"
0.688,225,"(8, 19, 19, 19, 17)"
0.7,250,"(8, 19, 19, 19, 17)"
0.682,275,"(8, 19, 19, 19, 17)"
0.696,300,"(8, 19, 19, 19, 17)"
0.686,350,"(8, 19, 19, 19, 17)"
0.698,400,"(8, 19, 19, 19, 17)"
0.71,500,"(8, 19, 19, 19, 17)"
0.756,750,"(8, 19, 19, 19, 17)"
0.788,1000,"(8, 19, 19, 19, 17)"
0.8,1250,"(8, 19, 19, 19, 17)"
0.8,1500,"(8, 19, 19, 19, 17)"
0.8,1750,"(8, 19, 19, 19, 17)"
0.8,1999,"(8, 19, 19, 19, 17)"
