n,value,kryt,device
1,-8988.059494423545,log_lig,ligthing2
1,17980.11898884709,AIC,ligthing2
1,17990.74542962127,BIC,ligthing2
1,-7282.001649496378,log_lig,lighting5
1,14568.003298992757,AIC,lighting5
1,14578.629739766937,BIC,lighting5
1,-8191.598340138293,log_lig,lighting4
1,16387.196680276586,AIC,lighting4
1,16397.823121050766,BIC,lighting4
1,-8734.020405557416,log_lig,refrigerator
1,17472.04081111483,AIC,refrigerator
1,17482.667251889012,BIC,refrigerator
1,-8177.531546304745,log_lig,microwave
1,16359.06309260949,AIC,microwave
1,16369.68953338367,BIC,microwave
2,-5770.980173627864,log_lig,ligthing2
2,11555.960347255728,AIC,ligthing2
2,11593.15288996536,BIC,ligthing2
2,-5745.350201429696,log_lig,lighting5
2,11504.700402859393,AIC,lighting5
2,11541.892945569025,BIC,lighting5
2,-6386.484236501431,log_lig,lighting4
2,12786.968473002862,AIC,lighting4
2,12824.161015712494,BIC,lighting4
2,-8510.930468996852,log_lig,refrigerator
2,17035.860937993704,AIC,refrigerator
2,17073.053480703336,BIC,refrigerator
2,-1252.1037172757674,log_lig,microwave
2,2518.207434551535,AIC,microwave
2,2555.399977261167,BIC,microwave
3,3932.4549397024316,log_lig,ligthing2
3,-7836.909879404863,AIC,ligthing2
3,-7762.524793985599,BIC,ligthing2
3,4812.889393524302,log_lig,lighting5
3,-9597.778787048604,AIC,lighting5
3,-9523.39370162934,BIC,lighting5
3,-6386.182038466371,log_lig,lighting4
3,12800.364076932741,AIC,lighting4
3,12874.749162352005,BIC,lighting4
3,-3119.300263913467,log_lig,refrigerator
3,6266.600527826934,AIC,refrigerator
3,6340.985613246198,BIC,refrigerator
3,-973.6300935638068,log_lig,microwave
3,1975.2601871276136,AIC,microwave
3,2049.645272546878,BIC,microwave
4,-4814.349019643331,log_lig,ligthing2
4,9674.698039286663,AIC,ligthing2
4,9796.902108189739,BIC,ligthing2
4,5802.338524389418,log_lig,lighting5
4,-11558.677048778836,AIC,lighting5
4,-11436.47297987576,BIC,lighting5
4,-5925.234760828744,log_lig,lighting4
4,11896.469521657487,AIC,lighting4
4,12018.673590560564,BIC,lighting4
4,-3109.9661775294694,log_lig,refrigerator
